filename,chroma_freq,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,dbfs,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,genre
028._Drake_-_What’s_Next.mp3,0.5409576296806335,0.21878475795507887,2772.076265197102,2862.8301943806505,6151.0266944719915,0.09257502600135449,-8.883881145568449,-47.90263748168945,65.41888427734375,15.409820556640625,17.801538467407227,5.321598052978516,6.500866889953613,-11.581124305725098,5.639582633972168,-5.731601715087891,3.3582820892333984,-0.5563768148422241,5.1636433601379395,-3.546765089035034,5.718766212463379,-5.500474452972412,2.984140396118164,-1.5864567756652832,7.911273002624512,0.6613750457763672,4.386290073394775,Hip-Hop_-_Rap
057._DaBaby_-_VIBEZ.mp3,0.4389300048351288,0.27108946472446926,2558.270872683147,2812.836527463448,5887.267178278589,0.07771860286055211,-6.693295999725583,-14.32077407836914,84.06710815429688,20.671884536743164,12.6721830368042,8.33899974822998,9.1394681930542,-8.401611328125,6.276034832000732,-9.4608793258667,3.1271631717681885,-3.540736436843872,2.78383469581604,-3.764816999435425,-3.4865357875823975,-0.7816789746284485,3.1120824813842773,-5.726443290710449,3.96962571144104,-3.843465805053711,2.4394471645355225,Hip-Hop_-_Rap
79._Eminem_-_Killshot.mp3,0.49320676922798157,0.17494800745812697,2001.6404672155236,2225.0705943990156,4109.20015222886,0.07089879023155314,-17.016159188071846,-129.39205932617188,106.06473541259766,5.959123611450195,13.020355224609375,11.340741157531738,2.7013773918151855,-5.215632438659668,8.620686531066895,-10.86538314819336,0.8446318507194519,1.6628198623657227,-0.8352058529853821,4.727274417877197,2.561361074447632,-0.47085830569267273,9.38507080078125,-6.361215114593506,5.079704761505127,-3.1862757205963135,-0.6489707827568054,Hip-Hop_-_Rap
01._24kgoldn_-_Mood_(feat._iann_dior).mp3,0.36948949098587036,0.19031066623106924,2249.613293435095,2356.213496314587,4802.715403081463,0.082266698311726,-11.075831726440054,-44.582618713378906,94.42010498046875,-8.106084823608398,16.619117736816406,-3.9280762672424316,0.891666829586029,-3.407927989959717,0.5354757308959961,-10.197997093200684,5.3485612869262695,-9.483871459960938,1.850815773010254,-2.609609603881836,0.8560343980789185,0.498784601688385,1.4163151979446411,-5.36044979095459,2.9658470153808594,-6.614162445068359,-0.275202214717865,Hip-Hop_-_Rap
88._King_Von_-_Took_Her_To_The_O.mp3,0.5208370089530945,0.1855759139580464,2353.4493835035464,2595.5247606756607,5180.068676833398,0.06408943357359391,-10.197667276528472,-97.75077056884766,87.51202392578125,19.480411529541016,14.681300163269043,13.881425857543945,11.984668731689453,12.237449645996094,18.93964958190918,-2.3128693103790283,12.3325834274292,-1.448391318321228,6.50422477722168,3.0451414585113525,4.612793445587158,0.5792369842529297,5.609678268432617,-0.4152831733226776,8.91593074798584,-0.05657118931412697,5.848650932312012,Hip-Hop_-_Rap
080._J._Cole_-_1_0_0_._m_i_l_‘.mp3,0.33880454301834106,0.13660048089642426,2604.7283463279346,2767.7612222865705,5829.681415380708,0.10266440817692209,-19.50491270235316,-87.6618881225586,76.21586608886719,9.155462265014648,16.56757164001465,5.667616844177246,2.9871749877929688,-3.269641637802124,1.106479287147522,-6.2519683837890625,5.707046031951904,-0.716655433177948,8.544029235839844,-0.31430327892303467,-0.667841374874115,-1.3431107997894287,3.8414194583892822,-8.336684226989746,2.20910382270813,-5.754651069641113,0.6103521585464478,Hip-Hop_-_Rap
036._Moneybagg_Yo_-_Wockesha.mp3,0.43452975153923035,0.12232360590120103,2614.699387467948,2506.3636547972087,5215.054576389561,0.10529943885448917,-19.015677414152567,-139.6060028076172,78.65241241455078,10.382757186889648,8.838066101074219,9.125760078430176,-0.002801696304231882,-12.016535758972168,2.8758206367492676,-12.683137893676758,-7.793535232543945,-3.212543487548828,-0.4401676058769226,-3.8749349117279053,3.1568076610565186,-6.969821453094482,3.3450613021850586,-2.843930959701538,-2.7871475219726562,-2.6020753383636475,3.6899988651275635,Hip-Hop_-_Rap
092._A_Boogie_Wit_da_Hoodie_-_24_Hours_(feat._Lil_Durk).mp3,0.3930136561393738,0.1335213370800043,1981.1880350154704,2209.3006957572475,4178.96917478957,0.06951633449432404,-12.84840245797347,-121.23682403564453,111.02320861816406,18.996227264404297,31.764984130859375,10.942061424255371,-1.283539056777954,9.551004409790039,0.5595940351486206,3.634411096572876,-2.3452646732330322,-2.3434927463531494,4.767218112945557,-12.517084121704102,5.3709940910339355,-8.916111946105957,1.6998170614242554,-5.8550872802734375,3.793144464492798,-3.6897518634796143,2.211967945098877,Hip-Hop_-_Rap
046._Young_Stoner_Life_-_Diamonds_Dancing_(feat._Travis_Scott).mp3,0.5458402633666992,0.18945173750951205,2555.6934322862694,2700.728999092982,5610.093854307759,0.08692892761545408,-9.192261678826268,-78.71652221679688,76.97283172607422,12.548310279846191,12.13621711730957,7.843362808227539,17.146381378173828,0.314267635345459,12.089879989624023,2.8413686752319336,6.290378093719482,2.1725733280181885,7.694840431213379,-0.3481990396976471,5.958700656890869,1.629196286201477,6.198262691497803,-0.1774737387895584,5.444077014923096,-2.5796966552734375,0.8963577151298523,Hip-Hop_-_Rap
072._Moneybagg_Yo_-_Hard_For_The_Next.mp3,0.45889320969581604,0.1972588658730035,2270.5998870050025,2539.3686823162266,5062.636053599072,0.075263591250645,-10.05394094937004,-77.21636199951172,93.54490661621094,13.104403495788574,17.58636474609375,12.618827819824219,11.529383659362793,-3.6014411449432373,14.957252502441406,-4.6399455070495605,9.599137306213379,4.810798645019531,4.882354736328125,0.23621782660484314,7.321410655975342,1.911813497543335,8.92593765258789,-2.105619192123413,6.950586318969727,-0.5703921914100647,2.158172845840454,Hip-Hop_-_Rap
